dataset_label,department_label,course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
business,business,FNCE 2P91,FNCE,2P91,,by 12.5 credits to be eligible to continue in the BAcc Co-op program. A student who does not meet this requirement will not be permitted to continue in the program.,Bachelor of Accounting (BAcc) Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the BAcc program. A student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will not be permitted to continue in the BAcc program yet will be permitted to continue in the BBA program provided that they hold a minimum 60 percent major average and a minimum 60 percent overall average. A student who fails a major course more than once will not be permitted to continue in the BAcc Program. A student must complete,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,FNCE 2P91,FNCE,2P91,,by 12.5 credits to be eligible to continue in the BAcc program. A student who does not meet this requirement will not be permitted to continue in the program.,"Bachelor of Business Administration (BBA) Co-op Students admitted to the Bachelor of Business Administration Co-op program must follow the BBA Co-op program schedule. Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the BBA Co-op program. A student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will not be permitted to continue in the BBA Co-op program, but may continue in the BBA program. If a student subsequently raises his/her major average to 70 percent, the student may be readmitted to the Co-op program only if approved by the Co-op Admissions Committee. Students admitted to the BBA Co-op program must follow the BBA Co-op program schedule. Failure to adhere to the schedule, without the permission of the Co-op Programs Director, may result in removal from the BBA Co-op program. A student who fails a major course more than once will not be permitted to continue in the BBA Co-op Program. A student must complete",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,MGMT 1P93,MGMT,1P93,,and,,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,FNCE 2P91,FNCE,2P91,,by 12.5 credits to be eligible to continue in the BBA Co-op program. A student who does not meet this requirement will not be permitted to continue in the program.,"Bachelor of Business Administration (BBA) Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the BBA Honours with a concentration program, as outlined in the concentrations below. A student with a minimum 60 percent major average and a minimum 60 percent overall average will be permitted to continue in the BBA program. A student who does not meet a minimum 60 percent major average and a minimum percent overall average will not be permitted to continue in the BBA program. A student who fails a course more than once will not be permitted to continue in the BBA Program. A student must complete",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,FNCE 2P91,FNCE,2P91,,by 12.5 credits to be eligible to continue in the BBA program. A student who does not meet the requirements will not be permitted to continue in the program.,"Bachelor of Business Administration (BBA) Co-op International Double Degree Students admitted to the Bachelor of Business Administration Co-op International Double Degree program must follow the Double Degree program schedule. Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the Double Degree program. An outbound Double Degree student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will not be permitted to continue in the Double Degree program, but may continue in the BBA program. If a student subsequently raises his/her major average to 70 percent, the student may be readmitted to the Double Degree program only if approved by the Goodman School of Business and the Co-op Admissions Committee. An inbound Double Degree student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will have one session to increase grades back to Honours. If the student remains below Honours, the student will be removed from the Double Degree program and will need to apply for admission to Brock, should they wish to continue studies here (as either a visiting non-degree seeking student taking courses on Letter of Permission or a degree-seeking student in another program). Previous status in the Double Degree program does not guarantee admission to another program at Brock. Students admitted to the Double Degree program must follow the Double Degree program schedule. Failure to adhere to the schedule, without the permission of the Goodman School of Business and Co-op Programs Director, may result in removal from the Double Degree program. A student who fails a major course more than once will not be permitted to continue in the BBA Co-op Double Degree program. A student must complete",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,FNCE 2P91,FNCE,2P91,,by 12.5 credits to be eligible to continue in the BBA Co-op Double Degree program. A student who does not meet this requirement will not be permitted to continue in the program.,"Re-Admission and Transfer Eligibility The application form for re-admission or to transfer into the BAcc or BBA ( Declare or Change Major Application form) is available online at brocku.ca/webfm_send/1400 or at the Office of the Registrar. The Declare or Change Major Application form to transfer into the BAcc or BBA program must be completed and returned to the Office of the Registrar by June 1 or August 1 to be considered for admission to the program for the beginning of the subsequent Fall/Winter Session. The BAcc and BBA are limited enrolment programs. Admission is not guaranteed by attainment of the minimum requirements outlined below. To be eligible for readmission to the BAcc program (or to transfer from the BBA or a combined major program), a student must meet all of the following requirements: Completion of at least two and one-half credits required in the BAcc program, including either",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 1P91,ACTG,1P91,,and,"2P12 or ACTG 1P01 and 1P02 . A minimum 70 percent average in BAcc major courses, 60 percent non-major average, a minimum 75 percent ACTG average and permission of the Chair. To be eligible for readmission to the BBA program (or to transfer from another program), a student must meet all of the following requirements: Completion of",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,MKTG 3P96,MKTG,3P96,,in the Winter term of Year 3. One of,,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,FNCE 3P96,FNCE,3P96,,",","4P03 , 4P05 would be taken in Fall of Year 4. 5. The program of study at EBS will consist of regularly offered courses taught in English and by regular EBS faculty. Brock students will be required to study the German language as part of the EBS Double Degree program. The program of study at Reutlingen will consist of regularly offered courses taught primarily in German and by regular Reutlingen faculty. Brock students will be required to study the German language as part of the Reutlingen Double Degree program. Students are required to complete 2.0 German credits for both programs from the following: Students who have not completed Ontario 4U/M German language or equivalent will take",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ITIS 1P97,ITIS,1P97,,MATH 1P97,,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 2P21,ACTG,2P21,,",","2P31 , 2P32 and 2P97",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,FNCE 2P91,FNCE,2P91,,MKTG 2P91,,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,OBHR 2P91,OBHR,2P91,,OPER 2P91,one-half elective credit Year 3,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 3P23,ACTG,3P23,,",","3P33 , 3P43 , 3P63 and 3P97",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ETHC 3P82,ETHC,3P82,,FNCE 3P93,one Humanities context credit one-half elective credit Year 4,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 4P11,ACTG,4P11,,",","4P12 , 4P34 , 4P43 , 4P63 and 4P97",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,MGMT 4P90,MGMT,4P90,,one and one-half elective credit,Bachelor of Accounting Co-op (Honours only) Year 1,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 2P31,ACTG,2P31,,",",2P97 and 3P43,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,FNCE 2P91,FNCE,2P91,,Winter Term:,,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 3P63,ACTG,3P63,,and,4P43,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,OPER 2P91,OPER,2P91,,MKTG 2P91,one-half elective credit Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 3P23,ACTG,3P23,,and,3P33,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 4P34,ACTG,4P34,,and,4P63,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,OBHR 2P91,OBHR,2P91,,one-half elective,Year 5 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,MGMT 4P90,MGMT,4P90,,one-half elective credit,"Bachelor of Accounting for Students Holding Other Degrees Students holding a university degree in which the major area of study is other than a Business discipline and with a minimum 70 percent overall average may be admitted and receive a maximum of 10 credits towards a Bachelor of Accounting degree (offered as an Honours program only). Students who have been granted fewer than 10 advanced standing credits will require more than 10 Brock credits to complete the requirements. Bachelor of Business Administration Students who have successfully completed Year 1 and 2 required BBA courses may apply for admission to an area of concentration provided they meet the specific requirements of the concentration as outlined below. Students must submit a Declare or Change Major Application form (brocku.ca/webfm_send/1400) to the Office of the Registrar to apply to a concentration. The deadline to submit a concentration application is June 1 and August 1. Concentration in Accounting To concentrate in Accounting, students must have a minimum 70 percent major average, a minimum 60 percent non-major average, a minimum 70 percent average in either",,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ACTG 1P91,ACTG,1P91,,ECON 1P91,and 1P92,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,ITIS 1P97,ITIS,1P97,,MGMT 1P93,and 1P96,,,,,,2024-2025-Undergraduate-Calendar-Business-2.html
