dataset_label,department_label,chunk_id,course_code,title,section,chunk_index,text,source_file
business,business,1,FNCE 2P91,by 12.5 credits to be eligible to continue in the BAcc Co-op program. A student who does not meet this requirement will not be permitted to continue in the program.,,1,Dataset: business Course: FNCE 2P91 - by 12.5 credits to be eligible to continue in the BAcc Co-op program. A student who does not meet this requirement will not be permitted to continue in the program. Description: Bachelor of Accounting (BAcc) Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the BAcc program. A student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will not be permitted to continue in the BAcc program yet will be permitted to continue in the BBA program provided that they hold a minimum 60 percent major average and a minimum 60 percent overall average.,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,2,FNCE 2P91,by 12.5 credits to be eligible to continue in the BAcc Co-op program. A student who does not meet this requirement will not be permitted to continue in the program.,,2,A student who fails a major course more than once will not be permitted to continue in the BAcc Program. A student must complete,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,3,FNCE 2P91,by 12.5 credits to be eligible to continue in the BAcc program. A student who does not meet this requirement will not be permitted to continue in the program.,,1,"Dataset: business Course: FNCE 2P91 - by 12.5 credits to be eligible to continue in the BAcc program. A student who does not meet this requirement will not be permitted to continue in the program. Description: Bachelor of Business Administration (BBA) Co-op Students admitted to the Bachelor of Business Administration Co-op program must follow the BBA Co-op program schedule. Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the BBA Co-op program. A student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will not be permitted to continue in the BBA Co-op program, but may continue in the BBA program.",2024-2025-Undergraduate-Calendar-Business-2.html
business,business,4,FNCE 2P91,by 12.5 credits to be eligible to continue in the BAcc program. A student who does not meet this requirement will not be permitted to continue in the program.,,2,"If a student subsequently raises his/her major average to 70 percent, the student may be readmitted to the Co-op program only if approved by the Co-op Admissions Committee. Students admitted to the BBA Co-op program must follow the BBA Co-op program schedule. Failure to adhere to the schedule, without the permission of the Co-op Programs Director, may result in removal from the BBA Co-op program. A student who fails a major course more than once will not be permitted to continue in the BBA Co-op Program. A student must complete",2024-2025-Undergraduate-Calendar-Business-2.html
business,business,5,MGMT 1P93,and,,1,Dataset: business Course: MGMT 1P93 - and,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,6,FNCE 2P91,by 12.5 credits to be eligible to continue in the BBA Co-op program. A student who does not meet this requirement will not be permitted to continue in the program.,,1,"Dataset: business Course: FNCE 2P91 - by 12.5 credits to be eligible to continue in the BBA Co-op program. A student who does not meet this requirement will not be permitted to continue in the program. Description: Bachelor of Business Administration (BBA) Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the BBA Honours with a concentration program, as outlined in the concentrations below. A student with a minimum 60 percent major average and a minimum 60 percent overall average will be permitted to continue in the BBA program.",2024-2025-Undergraduate-Calendar-Business-2.html
business,business,7,FNCE 2P91,by 12.5 credits to be eligible to continue in the BBA Co-op program. A student who does not meet this requirement will not be permitted to continue in the program.,,2,A student who does not meet a minimum 60 percent major average and a minimum percent overall average will not be permitted to continue in the BBA program. A student who fails a course more than once will not be permitted to continue in the BBA Program. A student must complete,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,8,FNCE 2P91,by 12.5 credits to be eligible to continue in the BBA program. A student who does not meet the requirements will not be permitted to continue in the program.,,1,Dataset: business Course: FNCE 2P91 - by 12.5 credits to be eligible to continue in the BBA program. A student who does not meet the requirements will not be permitted to continue in the program. Description: Bachelor of Business Administration (BBA) Co-op International Double Degree Students admitted to the Bachelor of Business Administration Co-op International Double Degree program must follow the Double Degree program schedule. Eligibility to continue is based on the student's major average and non-major average and will be reviewed following completion of a Session. A student with a minimum 70 percent major average and a minimum 60 percent non-major average will be permitted to continue in the Double Degree program.,2024-2025-Undergraduate-Calendar-Business-2.html
business,business,9,FNCE 2P91,by 12.5 credits to be eligible to continue in the BBA program. A student who does not meet the requirements will not be permitted to continue in the program.,,2,"An outbound Double Degree student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will not be permitted to continue in the Double Degree program, but may continue in the BBA program. If a student subsequently raises his/her major average to 70 percent, the student may be readmitted to the Double Degree program only if approved by the Goodman School of Business and the Co-op Admissions Committee. An inbound Double Degree student who does not meet a minimum 70 percent major average and a minimum 60 percent non-major average will have one session to increase grades back to Honours. If the student remains below Honours, the student will be removed from the Double Degree program and will need to apply for admission to Brock,",2024-2025-Undergraduate-Calendar-Business-2.html
business,business,10,FNCE 2P91,by 12.5 credits to be eligible to continue in the BBA program. A student who does not meet the requirements will not be permitted to continue in the program.,,3,"should they wish to continue studies here (as either a visiting non-degree seeking student taking courses on Letter of Permission or a degree-seeking student in another program). Previous status in the Double Degree program does not guarantee admission to another program at Brock. Students admitted to the Double Degree program must follow the Double Degree program schedule. Failure to adhere to the schedule, without the permission of the Goodman School of Business and Co-op Programs Director, may result in removal from the Double Degree program. A student who fails a major course more than once will not be permitted to continue in the BBA Co-op Double Degree program. A student must complete",2024-2025-Undergraduate-Calendar-Business-2.html
