dataset_label,department_label,course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
maths,maths,MATH 1P40,MATH,1P40,,and,"1P66 is required, completion of both is recommended. 3. For students interested in pursuing graduate studies in mathematics,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P04,MATH,2P04,,",","3P03 , and either",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P04,MATH,3P04,,or,3P06 are recommended in Years 2 and 3;,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4F90,MATH,4F90,,is recommended in Year 4.,4. Students intending to pursue graduate studies in Applied Mathematics will find it essential to have completed,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P51,MATH,3P51,,",","3P52 , 3P96 and",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4F90,MATH,4F90,,.,5. Students intending to pursue graduate studies in Pure Mathematics will find it essential to have completed at least,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P97,MATH,3P97,,and,"4P03 , or",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4P11,MATH,4P11,,and,4P13 . 6.,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P04,MATH,2P04,,", and either",,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P75,MATH,2P75,,or,2P92 are recommended in Year 2.,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P03,MATH,3P03,,",","3P08 , 3P12 and",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P60,MATH,3P60,,or,3P75 are recommended in Year 3.,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4P71,MATH,4P71,,is recommended in Year 4.,7.,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P98,STAT,2P98,,does not carry major credit for the BSc (Honours) or (Pass) degree.,"8. In 20 credit degree programs a maximum of eight credits may be numbered 1 (alpha) 00 to 1 (alpha) 99; at least three credits must be numbered 2 (alpha) 90 or above; at least three credits must be numbered 3 (alpha) 90 or above; and the remaining credits must be numbered 2 (alpha) 00 or above. In 15 credit degree programs a maximum of eight credits may be numbered 1 (alpha) 00 to 1 (alpha) 99; at least three credits must be numbered 2 (alpha) 90 or above; and the remaining credits must be numbered 2 (alpha) 00 or above. In some circumstances, in order to meet university degree and program requirements, more than 15 or 20 credits may be taken. Mathematics and Statistics Honours Program Year 1 MATH 1P01, 1P02 and 1P11",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,or,1P66 three elective credits (see program notes 1 and 2 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P03,MATH,2P03,,and,2P12,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,and,2P82,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P08,MATH,2P08,,or,"2P40 one-half MATH or STAT credit numbered 2 (alpha) 00 or above the Humanities context credit, Sciences context credit or Social Sciences context credit not taken in year 1 one elective credit (see program note 3 ) Year 3 One of",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P03,MATH,3P03,,",","3P12 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P81,STAT,3P81,,",",3P82 one of,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P92,MATH,2P92,,",","2P94 , 3P40 , 3P41 , 3P51 , 3P52 , 3P96 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P81,STAT,3P81,,",","3P82 three MATH or STAT credits numbered 2 (alpha)90 or above (see program note 3 ) one elective credit (see program note 3 ) Year 4 One MATH or STAT credit numbered 2 (alpha) 00 or above three MATH or STAT credits numbered 3 (alpha) 90 or above (see program note 3 ) one elective credit Accelerated Mathematics Studies Stream Year 1 MATH 1P01, 1P02, 1P11, 2P03 and 2P12",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,or,1P66,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P08,MATH,2P08,,or,"2P40 one and one-half MATH or STAT credits numbered 1 (alpha) 00 or above (see program notes 1 , 2 and 8 ) two elective credits (see program note 1 ) Year 2",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,and,2P82 one of,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P92,MATH,2P92,,",","3P23 , 3P40 , 3P41 , 3P51 , 3P52 , 3P96 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P82,STAT,3P82,,one of,,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P03,MATH,3P03,,",","3P12 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P81,STAT,3P81,,",","3P82 two MATH or STAT credits numbered 2 (alpha) 90 or above (see program notes 3 , 4, 5 and 8) two elective credits (see program note 1 ) Year 3 MATH or",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 4F90,STAT,4F90,,five MATH or,"STAT credits numbered 3 (alpha) 00 or above (see program notes 3 , 4, 5 and 8) one elective credit Mathematics Co-op (Honours only) Year 1 MATH 1P01, 1P02, 1P11 and 1P40 three elective credits (see program note 1 ) Year 2",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P03,MATH,2P03,,",","2P08 , 2P12 , 2P40 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,and,"2P82 SCIE 0N90 the Humanities context credit, Sciences context credit or Social Sciences context credit not taken in year 1 one elective credit Spring/Summer Sessions:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N01,MATH,0N01,,and,2C01 Year 3 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P12,MATH,3P12,,STAT 3P81,or 3P82 one MATH or STAT credit numbered 3 (alpha) 00 or above one-half elective credit Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N02,MATH,0N02,,and,2C02 Year 4,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P40,MATH,3P40,,STAT 3P81,or 3P82 one credit from,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P04,MATH,3P04,,",","4P06 , 4P09 , 4P13 , 4P92 , 4P94 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P85,STAT,3P85,,",","3P86 , 4P84 one credit from",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4P09,MATH,4P09,,",","4P11 , 4P92 , 4P94 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 4P84,STAT,4P84,,one MATH or,STAT credit numbered 3 (alpha) 00 or above one elective credit Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
