dataset_label,department_label,chunk_id,course_code,title,section,chunk_index,text,source_file
maths,maths,1,MATH 1P40,and,,1,"Dataset: maths Course: MATH 1P40 - and Description: 1P66 is required, completion of both is recommended. 3. For students interested in pursuing graduate studies in mathematics,",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,2,MATH 2P04,",",,1,"Dataset: maths Course: MATH 2P04 - , Description: 3P03 , and either",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,3,MATH 3P04,or,,1,Dataset: maths Course: MATH 3P04 - or Description: 3P06 are recommended in Years 2 and 3;,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,4,MATH 4F90,is recommended in Year 4.,,1,Dataset: maths Course: MATH 4F90 - is recommended in Year 4. Description: 4. Students intending to pursue graduate studies in Applied Mathematics will find it essential to have completed,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,5,MATH 3P51,",",,1,"Dataset: maths Course: MATH 3P51 - , Description: 3P52 , 3P96 and",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,6,MATH 4F90,.,,1,Dataset: maths Course: MATH 4F90 - . Description: 5. Students intending to pursue graduate studies in Pure Mathematics will find it essential to have completed at least,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,7,MATH 3P97,and,,1,"Dataset: maths Course: MATH 3P97 - and Description: 4P03 , or",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,8,MATH 4P11,and,,1,Dataset: maths Course: MATH 4P11 - and Description: 4P13 . 6.,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,9,MATH 2P04,", and either",,1,"Dataset: maths Course: MATH 2P04 - , and either",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,10,MATH 2P75,or,,1,Dataset: maths Course: MATH 2P75 - or Description: 2P92 are recommended in Year 2.,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,11,MATH 3P03,",",,1,"Dataset: maths Course: MATH 3P03 - , Description: 3P08 , 3P12 and",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,12,MATH 3P60,or,,1,Dataset: maths Course: MATH 3P60 - or Description: 3P75 are recommended in Year 3.,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,13,MATH 4P71,is recommended in Year 4.,,1,Dataset: maths Course: MATH 4P71 - is recommended in Year 4. Description: 7.,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,14,STAT 2P98,does not carry major credit for the BSc (Honours) or (Pass) degree.,,1,"Dataset: maths Course: STAT 2P98 - does not carry major credit for the BSc (Honours) or (Pass) degree. Description: 8. In 20 credit degree programs a maximum of eight credits may be numbered 1 (alpha) 00 to 1 (alpha) 99; at least three credits must be numbered 2 (alpha) 90 or above; at least three credits must be numbered 3 (alpha) 90 or above; and the remaining credits must be numbered 2 (alpha) 00 or above. In 15 credit degree programs a maximum of eight credits may be numbered 1 (alpha) 00 to 1 (alpha) 99; at least three credits must be numbered 2 (alpha) 90 or above; and the remaining credits must be numbered 2 (alpha) 00 or above. In some circumstances, in order to meet university degree and program requirements, more than 15 or 20 credits may be taken. Mathematics and Statistics Honours Program Year 1 MATH 1P01, 1P02 and 1P11",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,15,MATH 1P40,or,,1,Dataset: maths Course: MATH 1P40 - or Description: 1P66 three elective credits (see program notes 1 and 2 ) Year 2,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,16,MATH 2P03,and,,1,Dataset: maths Course: MATH 2P03 - and Description: 2P12,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,17,STAT 2P81,and,,1,Dataset: maths Course: STAT 2P81 - and Description: 2P82,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,18,MATH 2P08,or,,1,"Dataset: maths Course: MATH 2P08 - or Description: 2P40 one-half MATH or STAT credit numbered 2 (alpha) 00 or above the Humanities context credit, Sciences context credit or Social Sciences context credit not taken in year 1 one elective credit (see program note 3 ) Year 3 One of",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,19,MATH 3P03,",",,1,"Dataset: maths Course: MATH 3P03 - , Description: 3P12 ,",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,20,STAT 3P81,",",,1,"Dataset: maths Course: STAT 3P81 - , Description: 3P82 one of",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,21,MATH 2P92,",",,1,"Dataset: maths Course: MATH 2P92 - , Description: 2P94 , 3P40 , 3P41 , 3P51 , 3P52 , 3P96 ,",2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
